ctit083
	Adding nVidia Cuda Toolkit 10.1
Gpu devices                 : 0
Starting worker: 
/tmp/slurmd/job220191/slurm_script: line 20: ./gpu_burn: No such file or directory
Train Set:  160
Validation Set:  40
Test Set:  100
cuda
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [1/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:07<10:10,  7.73s/it]
  2%|▎         | 2/80 [00:12<07:46,  5.98s/it]
  4%|▍         | 3/80 [00:17<06:58,  5.44s/it]
  5%|▌         | 4/80 [00:22<06:36,  5.22s/it]
  6%|▋         | 5/80 [00:26<06:18,  5.04s/it]
  8%|▊         | 6/80 [00:31<06:08,  4.98s/it]
  9%|▉         | 7/80 [00:36<06:01,  4.95s/it]
 10%|█         | 8/80 [00:41<05:52,  4.89s/it]
 11%|█▏        | 9/80 [00:46<05:49,  4.93s/it]
 12%|█▎        | 10/80 [00:51<05:47,  4.96s/it]
 14%|█▍        | 11/80 [00:56<05:49,  5.07s/it]
 15%|█▌        | 12/80 [01:01<05:41,  5.02s/it]
 16%|█▋        | 13/80 [01:06<05:32,  4.96s/it]
 18%|█▊        | 14/80 [01:12<05:39,  5.14s/it]
 19%|█▉        | 15/80 [01:16<05:26,  5.03s/it]
 20%|██        | 16/80 [01:21<05:22,  5.05s/it]
 21%|██▏       | 17/80 [01:26<05:13,  4.98s/it]
 22%|██▎       | 18/80 [01:31<05:05,  4.93s/it]
 24%|██▍       | 19/80 [01:36<05:00,  4.92s/it]
 25%|██▌       | 20/80 [01:41<04:52,  4.88s/it]
 26%|██▋       | 21/80 [01:46<04:46,  4.85s/it]
 28%|██▊       | 22/80 [01:50<04:42,  4.87s/it]
 29%|██▉       | 23/80 [01:55<04:38,  4.89s/it]
 30%|███       | 24/80 [02:00<04:32,  4.87s/it]
 31%|███▏      | 25/80 [02:05<04:25,  4.84s/it]
 32%|███▎      | 26/80 [02:10<04:24,  4.90s/it]
 34%|███▍      | 27/80 [02:15<04:16,  4.84s/it]
 35%|███▌      | 28/80 [02:19<04:09,  4.81s/it]
 36%|███▋      | 29/80 [02:25<04:19,  5.08s/it]
 38%|███▊      | 30/80 [02:33<04:56,  5.93s/it]
 39%|███▉      | 31/80 [02:38<04:35,  5.62s/it]
 40%|████      | 32/80 [02:43<04:19,  5.40s/it]
 41%|████▏     | 33/80 [02:48<04:06,  5.24s/it]
 42%|████▎     | 34/80 [02:53<03:57,  5.15s/it]
 44%|████▍     | 35/80 [02:58<03:48,  5.09s/it]
 45%|████▌     | 36/80 [03:03<03:43,  5.08s/it]
 46%|████▋     | 37/80 [03:08<03:37,  5.06s/it]
 48%|████▊     | 38/80 [03:12<03:29,  4.98s/it]
 49%|████▉     | 39/80 [03:17<03:23,  4.96s/it]
 50%|█████     | 40/80 [03:23<03:22,  5.06s/it]
 51%|█████▏    | 41/80 [03:28<03:15,  5.03s/it]
 52%|█████▎    | 42/80 [03:32<03:07,  4.95s/it]
 54%|█████▍    | 43/80 [03:37<03:03,  4.95s/it]
 55%|█████▌    | 44/80 [03:42<02:55,  4.88s/it]
 56%|█████▋    | 45/80 [03:47<02:53,  4.97s/it]
 57%|█████▊    | 46/80 [03:52<02:51,  5.04s/it]
 59%|█████▉    | 47/80 [03:58<02:49,  5.12s/it]
 60%|██████    | 48/80 [04:03<02:41,  5.06s/it]
 61%|██████▏   | 49/80 [04:08<02:34,  4.99s/it]
 62%|██████▎   | 50/80 [04:12<02:28,  4.97s/it]
 64%|██████▍   | 51/80 [04:17<02:24,  4.99s/it]
 65%|██████▌   | 52/80 [04:22<02:17,  4.92s/it]
 66%|██████▋   | 53/80 [04:29<02:28,  5.51s/it]
 68%|██████▊   | 54/80 [04:34<02:17,  5.29s/it]
 69%|██████▉   | 55/80 [04:39<02:10,  5.21s/it]
 70%|███████   | 56/80 [04:44<02:02,  5.09s/it]
 71%|███████▏  | 57/80 [04:48<01:54,  4.97s/it]
 72%|███████▎  | 58/80 [04:53<01:49,  4.98s/it]
 74%|███████▍  | 59/80 [04:58<01:43,  4.94s/it]
 75%|███████▌  | 60/80 [05:04<01:42,  5.13s/it]
 76%|███████▋  | 61/80 [05:09<01:36,  5.06s/it]
 78%|███████▊  | 62/80 [05:14<01:29,  4.99s/it]
 79%|███████▉  | 63/80 [05:18<01:23,  4.92s/it]
 80%|████████  | 64/80 [05:23<01:17,  4.87s/it]
 81%|████████▏ | 65/80 [05:29<01:15,  5.06s/it]
 82%|████████▎ | 66/80 [05:33<01:09,  5.00s/it]
 84%|████████▍ | 67/80 [05:38<01:04,  5.00s/it]
 85%|████████▌ | 68/80 [05:43<01:00,  5.00s/it]
 86%|████████▋ | 69/80 [05:48<00:55,  5.02s/it]
 88%|████████▊ | 70/80 [05:53<00:49,  4.95s/it]
 89%|████████▉ | 71/80 [06:00<00:48,  5.42s/it]
 90%|█████████ | 72/80 [06:05<00:42,  5.32s/it]
 91%|█████████▏| 73/80 [06:10<00:36,  5.19s/it]
 92%|█████████▎| 74/80 [06:15<00:30,  5.09s/it]
 94%|█████████▍| 75/80 [06:20<00:25,  5.06s/it]
 95%|█████████▌| 76/80 [06:25<00:20,  5.11s/it]
 96%|█████████▋| 77/80 [06:30<00:15,  5.04s/it]
 98%|█████████▊| 78/80 [06:35<00:09,  4.99s/it]
 99%|█████████▉| 79/80 [06:40<00:05,  5.02s/it]
100%|██████████| 80/80 [06:45<00:00,  4.97s/it]
100%|██████████| 80/80 [06:45<00:00,  5.06s/it]
Epoch [1/20], Train Loss: 0.2550
Validation

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [00:04<01:33,  4.93s/it]
 10%|█         | 2/20 [00:09<01:27,  4.88s/it]
 15%|█▌        | 3/20 [00:16<01:40,  5.90s/it]
 20%|██        | 4/20 [00:21<01:28,  5.53s/it]
 25%|██▌       | 5/20 [00:26<01:17,  5.16s/it]
 30%|███       | 6/20 [00:31<01:10,  5.02s/it]
 35%|███▌      | 7/20 [00:36<01:05,  5.02s/it]
 40%|████      | 8/20 [00:41<01:02,  5.19s/it]
 45%|████▌     | 9/20 [00:47<01:00,  5.52s/it]
 50%|█████     | 10/20 [00:52<00:52,  5.30s/it]
 55%|█████▌    | 11/20 [00:57<00:45,  5.11s/it]
 60%|██████    | 12/20 [01:02<00:39,  4.97s/it]
 65%|██████▌   | 13/20 [01:06<00:34,  4.95s/it]
 70%|███████   | 14/20 [01:11<00:29,  4.93s/it]
 75%|███████▌  | 15/20 [01:17<00:25,  5.06s/it]
 80%|████████  | 16/20 [01:21<00:19,  4.93s/it]
 85%|████████▌ | 17/20 [01:26<00:14,  4.93s/it]
 90%|█████████ | 18/20 [01:31<00:09,  4.82s/it]
 95%|█████████▌| 19/20 [01:36<00:04,  4.88s/it]
100%|██████████| 20/20 [01:41<00:00,  4.86s/it]
100%|██████████| 20/20 [01:41<00:00,  5.06s/it]
Epoch [1/20], Validation Loss: 0.2894
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [2/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:04<06:09,  4.67s/it]
  2%|▎         | 2/80 [00:09<06:04,  4.68s/it]
  4%|▍         | 3/80 [00:14<06:02,  4.71s/it]
  5%|▌         | 4/80 [00:18<06:01,  4.75s/it]
  6%|▋         | 5/80 [00:23<05:54,  4.73s/it]
  8%|▊         | 6/80 [00:28<05:53,  4.77s/it]
  9%|▉         | 7/80 [00:33<05:45,  4.73s/it]
 10%|█         | 8/80 [00:37<05:37,  4.69s/it]
 11%|█▏        | 9/80 [00:42<05:34,  4.71s/it]
 12%|█▎        | 10/80 [00:47<05:33,  4.76s/it]
 14%|█▍        | 11/80 [00:52<05:29,  4.77s/it]
 15%|█▌        | 12/80 [00:56<05:22,  4.74s/it]
 16%|█▋        | 13/80 [01:01<05:18,  4.75s/it]
 18%|█▊        | 14/80 [01:06<05:12,  4.73s/it]
 19%|█▉        | 15/80 [01:10<05:05,  4.71s/it]
 20%|██        | 16/80 [01:15<05:00,  4.70s/it]
 21%|██▏       | 17/80 [01:20<04:55,  4.69s/it]
 22%|██▎       | 18/80 [01:24<04:50,  4.68s/it]
 24%|██▍       | 19/80 [01:29<04:45,  4.68s/it]
 25%|██▌       | 20/80 [01:34<04:53,  4.89s/it]
 26%|██▋       | 21/80 [01:39<04:45,  4.84s/it]
 28%|██▊       | 22/80 [01:44<04:36,  4.77s/it]
 29%|██▉       | 23/80 [01:49<04:30,  4.75s/it]
 30%|███       | 24/80 [01:53<04:25,  4.75s/it]
 31%|███▏      | 25/80 [01:58<04:20,  4.74s/it]
 32%|███▎      | 26/80 [02:03<04:16,  4.74s/it]
 34%|███▍      | 27/80 [02:07<04:10,  4.72s/it]
 35%|███▌      | 28/80 [02:12<04:03,  4.69s/it]
 36%|███▋      | 29/80 [02:17<03:58,  4.68s/it]
 38%|███▊      | 30/80 [02:21<03:55,  4.72s/it]
 39%|███▉      | 31/80 [02:26<03:53,  4.76s/it]
 40%|████      | 32/80 [02:31<03:51,  4.82s/it]
 41%|████▏     | 33/80 [02:36<03:45,  4.79s/it]
 42%|████▎     | 34/80 [02:41<03:38,  4.75s/it]
 44%|████▍     | 35/80 [02:46<03:40,  4.89s/it]
 45%|████▌     | 36/80 [02:51<03:32,  4.84s/it]
 46%|████▋     | 37/80 [02:55<03:26,  4.81s/it]
 48%|████▊     | 38/80 [03:00<03:20,  4.77s/it]
 49%|████▉     | 39/80 [03:05<03:14,  4.74s/it]
 50%|█████     | 40/80 [03:09<03:09,  4.73s/it]
 51%|█████▏    | 41/80 [03:14<03:04,  4.73s/it]
 52%|█████▎    | 42/80 [03:19<02:59,  4.71s/it]
 54%|█████▍    | 43/80 [03:24<02:54,  4.71s/it]
 55%|█████▌    | 44/80 [03:28<02:48,  4.68s/it]
 56%|█████▋    | 45/80 [03:33<02:43,  4.69s/it]
